algorithm	delay	prediction	x	y	label
linear	threshold	upper left	-3.5054687500000004	-1.6460937500000004	lower left
linear	peak	upper right	3.5734375	-17.0734375	lower left
linear	cross-correlation	upper left	-13.753125	-10.928906250000002	lower left
diagonal	threshold	lower left	-4.007758700563027	4.894303013899962	lower left
diagonal	peak	lower right	3.9066990901110312	39.39089235115649	lower left
diagonal	cross-correlation	lower left	-23.708740432011375	0.8746214387226132	lower left
diwl	threshold	upper left	0.0	0.0	lower left
diwl	peak	upper left	0.0	0.0	lower left
diwl	cross-correlation	upper left	0.0	0.0	lower left
linear	threshold	center	0.75	0.375	lower left
linear	peak	upper left	-42.72890625000001	-42.86015625	lower left
linear	cross-correlation	upper left	-0.7328124999999996	-22.3953125	lower left
diagonal	threshold	center	0.75	0.375	lower left
diagonal	peak	lower left	-47.86089498117023	97.05174839282489	lower left
diagonal	cross-correlation	lower left	-48.1561258313245	52.812541000477495	lower left
diwl	threshold	center	0.75	0.3673153238339657	lower left
diwl	peak	upper left	0.0	0.0	lower left
diwl	cross-correlation	upper left	0.0	0.0	lower left
linear	threshold	upper left	-11.021093750000002	-8.22734375	lower left
linear	peak	upper left	-3.0179687500000005	-17.063281250000003	lower left
linear	cross-correlation	upper left	-29.810156250000002	-10.390625000000002	lower left
diagonal	threshold	lower left	-12.410482897261485	19.61042539082041	lower left
diagonal	peak	lower left	-3.462717131047455	39.36818228576	lower left
diagonal	cross-correlation	lower left	-31.62319822268543	21.063869576195316	lower left
diwl	threshold	upper left	0.0	0.0	lower left
diwl	peak	upper left	0.0	0.0	lower left
diwl	cross-correlation	upper left	0.0	0.0	lower left
linear	threshold	lower left	-15.063281250000001	10.78515625	upper left
linear	peak	lower left	-21.126562500000002	46.5046875	upper left
linear	cross-correlation	lower left	-31.9125	4.9859375	upper left
diagonal	threshold	upper left	-16.929785911161453	-22.902817031394235	upper left
diagonal	peak	upper left	-23.708740432011368	-102.77411703082234	upper left
diagonal	cross-correlation	upper left	-51.64212086968451	-158.64087790616864	upper left
diwl	threshold	upper left	0.0	0.0	upper left
diwl	peak	upper left	0.0	0.0	upper left
diwl	cross-correlation	upper left	0.0	0.0	upper left
linear	threshold	lower left	-4.175781250000001	3.69609375	upper left
linear	peak	lower right	3.4921875	22.678125000000005	upper left
linear	cross-correlation	lower left	-2.77421875	15.223437500000001	upper left
diagonal	threshold	upper left	-4.75719085864694	-7.051191384649683	upper left
diagonal	peak	upper right	3.8158588285251085	-49.496303610675014	upper left
diagonal	cross-correlation	upper right	5.973315041190919	-44.727189877413736	upper left
diwl	threshold	upper left	0.0	0.0	upper left
diwl	peak	upper left	0.0	0.0	upper left
diwl	cross-correlation	upper left	0.0	0.0	upper left
linear	threshold	lower left	-11.84375	8.1953125	upper left
linear	peak	lower right	5.797656250000001	20.352343750000003	upper left
linear	cross-correlation	lower left	-10.584375000000001	4.742187499999999	upper left
diagonal	threshold	upper left	-13.330240545819013	-17.111750355291278	upper left
diagonal	peak	upper right	6.393451251025837	-44.295698634880566	upper left
diagonal	cross-correlation	upper left	-51.256049757944325	-159.82180130678572	upper left
diwl	threshold	upper left	0.0	0.0	upper left
diwl	peak	upper left	0.0	0.0	upper left
diwl	cross-correlation	upper left	0.0	0.0	upper left
linear	threshold	lower right	4.35546875	2.1523437500000004	upper right
linear	peak	lower left	-0.8343750000000001	22.739062500000003	upper right
linear	cross-correlation	lower left	-1.9515625000000014	1.4210937499999998	upper right
diagonal	threshold	upper right	4.781036607875603	-3.5992614443843767	upper right
diagonal	peak	upper left	-1.0213851009256096	-49.6325640030539	upper right
diagonal	cross-correlation	upper right	15.193601592162704	-26.28661677547015	upper right
diwl	threshold	upper left	0.0	0.0	upper right
diwl	peak	upper left	0.0	0.0	upper right
diwl	cross-correlation	upper left	0.0	0.0	upper right
linear	threshold	lower right	3.94921875	1.5023437499999999	upper right
linear	peak	lower left	-20.517187500000002	3.1578125000000004	upper right
